GDP_Growth,Gini_Index,Gini_Sq,GDP_Pc_Log,Educ_Log,Trade_Log,Govt_Effectiveness,Land_Log,Educ_Govt_Eff
1.6618353273705426,,,10.27046303252989,1.594948135562867,4.9731479889812915,0.9155162692070015,5.19295685089021,1.4541346118115133
2.291892722381662,31.8,1011.24,6.252974389891841,1.420013312770035,3.8439560169950973,-1.4192660331726101,13.388152539439549,-2.015482099084136
-0.7604651340790082,49.46,2446.294,7.780955389471242,0.9350645955359507,4.065530267716127,-0.9972622752189638,14.036010618333066,-0.9224572204960015
3.030762540850276,37.92,1437.952,8.45092779900989,1.274944744659208,4.312235774883055,0.03468685895204544,10.218298292376161,0.04139544691395251
1.818840696718787,29.7,882.0899999999999,10.61359503518178,1.1712674570930162,,1.830845499038696,6.152732694704104,2.144027993656347
3.1011188732750905,30.660000000000004,940.0620000000001,10.67827078180469,1.3507215710816474,5.1249157660733164,1.4252383708953862,11.17071680649708,1.9251002115016635
-0.22978450068154405,37.839999999999996,1431.8679999999997,9.42698699351975,1.6620994941066218,3.3033091771687353,0.04233433231711396,14.822259718911729,0.07457791133326265
4.73999999972522,36.4,1325.192,8.273477609091906,0.9121255566018649,4.432937090312099,-0.2585045367479324,10.247017680683491,-0.2423360116033119
-0.6668094001360054,,,9.438975526722945,2.6890066583396317,5.088835552739198,0.48490142822265614,5.298317366548036,1.3039031691291194
3.6277881816974102,48.0,2304.0,9.759723797018626,0.8641460902984488,4.879389476010402,0.051354276388883534,6.0867747269123065,0.031082339032817114
2.455832365918026,32.7,1069.2900000000002,10.905502069449597,1.6838494134890554,3.7591932812849684,1.5317015409469579,15.85569398579143,2.579154741363818
1.986438044176058,27.78,771.738,10.765611055057718,1.6822349119504623,4.657113662086262,1.468356823921204,11.320795967185187,2.470009646561527
0.4239546405302422,29.0,841.0,8.429573677980969,1.0216186333957975,4.452075544119119,-0.1725685477256776,11.32237010324917,-0.1767430118798757
-0.11549979637599002,38.56,1486.876,5.465939135154353,1.6519725557068181,3.2033673255402917,-1.38569939136505,10.153467757803897,-2.2807934323548547
1.6925986403231819,26.1,681.262,10.694701613318,1.85992158873235,5.092986507531561,1.30116355419159,10.325285221931852,2.4211985177400877
4.870465337679276,43.9,1927.2900000000002,6.973881251548457,1.1125116390041376,4.102491278468742,-0.6254418909549713,11.633016945228048,-0.7013097849897295
5.715293790271436,41.5,1722.25,6.560703938562339,1.5928371478639662,4.085017146380164,-0.6783740520477296,12.519422464730532,-1.0804199915248527
7.09153917402441,34.08,1161.448,7.453425171879514,0.49725105627881944,3.503952923523362,-0.745138716697693,11.777287732100392,-0.37320280258033084
3.101684669824632,37.8,1429.128,9.074244599168583,1.4101058004074207,4.840950943970024,0.09196720216423264,11.595058294508751,0.13024951265300594
3.076433412424426,46.1,2125.21,10.132301970312387,0.8764104027436626,4.936033588804849,0.2569189965724946,6.672032945461067,0.23114688754863044
0.9542374193692114,44.8,2007.0399999999997,10.369676892008911,0.9283541510085069,4.237195427663937,0.5693263232707977,9.211339872309265,0.5255944166735093
3.503189866278974,38.4,1474.56,8.592228438584542,1.2709660032166241,4.533989285150154,-0.5946485698223112,10.843494811027599,-0.757276310108651
0.154363915418174,24.580000000000002,604.198,8.69405011928057,1.582761535363114,4.85746205324738,-0.3666687786579132,12.220911995726814,-0.5796576723002836
1.2992180109015243,51.3,2631.6899999999996,8.718975438375837,1.7611002617612992,4.6068242907875,-0.6419217348098754,10.034954315278434,-1.1304461598215945
0.720809678654456,,,11.616591395580215,0.5433777314220917,4.313134511912638,1.2405510902404768,3.988984046564275,0.6817375916019157
3.951328733893592,41.42,1716.714,8.089846918437775,2.091801619103263,4.073252686194833,-0.5586140990257265,13.895522495933658,-1.1691265120772627
-0.49887333224595204,46.56,2168.7879999999996,9.129795280504068,1.8219553621555147,3.2823950404321147,-0.3152967065572736,15.938746472268472,-0.5740306924800984
0.1105596276973766,43.82000000000001,1920.218,9.886395865220159,1.4904400278659464,,0.7620631158351895,6.063785208687608,1.1297681191284525
0.47592809576925765,,,10.285176080440387,1.4615348429533295,4.528402306882491,1.134997153282166,8.569785641535407,1.6616420618245946
5.29612205562294,38.38,1473.0900000000001,8.100502549765169,1.8114123939074755,4.376750814790962,0.40396341681480424,10.54901887915441,0.7433574510168566
2.7375888068117358,58.3,3398.8900000000003,8.839349236992394,2.109198225167577,4.526638776133437,0.3892759263515472,13.247638278819007,0.8238585234857094
4.10083193552853,50.9,2590.83,6.031987074677785,0.5578242951026091,3.951943033581999,-1.7853212833404541,13.342269694525555,-0.9974589174067073
1.874750446723667,30.82,950.2540000000001,10.708987291024675,1.5758561999118883,4.187802061273914,1.732698798179626,15.988977363388155,2.7308686603853465
1.815708967565272,30.22,913.314,11.332631959345061,1.606989084878353,4.808480016113885,1.9740684032440199,10.584299718643795,3.1722420095946946
1.9774147268101234,45.82,2099.518,9.57504591736974,1.677989122242145,4.050571561504091,0.8665624141693116,13.518224703137799,1.4531304377973258
6.694164473854284,41.120000000000005,1690.868,9.118616044567544,,3.604574564020274,0.4464446723461152,16.05496520468455,
6.668597845502366,51.96,2700.9440000000004,7.589994791820041,1.2667577232824705,3.868084334368105,-0.700551998615265,12.669806661762314,-0.8913398004666249
4.23489959879154,44.7,1998.0900000000001,7.314577115774441,1.05198534534542,3.7330784212090213,-0.8483138561248778,13.0662373716242,-0.8936958757540092
4.649632732675764,43.78,1916.694,6.182301082930584,0.6632525777857234,4.134822754600492,-1.6195074081420882,14.633989984826508,-1.072409442354172
